uid,group_type,human_kc_count,llm_kc_count,human_word_count,llm_word_count,human_ttr,llm_ttr,human_fres,llm_fres
U030,mixed-uptake,12,9,198,163,0.4595959595959596,0.5766871165644172,84.13031468531469,73.17717319490328
U030,mixed-uptake,11,11,198,139,0.46464646464646464,0.6690647482014388,84.13031468531469,67.41340745585353
U001,low-uptake,6,6,71,70,0.704225352112676,0.7714285714285715,83.43814260563381,78.30517857142858
U033,low-uptake,9,9,254,268,0.5787401574803149,0.582089552238806,66.06450787401576,45.28194029850749
U024,mixed-uptake,9,9,240,165,0.475,0.5818181818181818,92.13416666666669,79.28090909090912
U027,high-uptake,7,7,205,169,0.526829268292683,0.6449704142011834,72.70844850948511,65.64965647600263
U027,high-uptake,9,9,205,135,0.526829268292683,0.6888888888888889,72.70844850948511,57.54958333333337
U055,low-uptake,8,8,206,207,0.616504854368932,0.6231884057971014,62.630538201772936,70.58912055335969
U018,high-uptake,17,17,263,229,0.6577946768060836,0.7117903930131004,83.79725570342205,65.54250764192142
U025,low-uptake,10,9,182,190,0.6428571428571429,0.6684210526315789,66.18983516483517,60.64775303643728
U020,low-uptake,3,7,239,235,0.5313807531380753,0.5531914893617021,73.09184754184102,69.88718750000001
U054,low-uptake,8,8,292,315,0.410958904109589,0.4158730158730159,78.98623287671235,75.9019642857143
U014,high-uptake,8,8,259,227,0.5057915057915058,0.6343612334801763,69.85531802479173,56.441460700208694
U008,,10,9,239,160,0.4309623430962343,0.625,83.66900627615063,84.72625000000002
U005,,9,0,240,206,0.35,0.48058252427184467,93.305,71.74518122977348
U008,,11,11,241,193,0.4315352697095436,0.5647668393782384,82.99818464730292,74.05182642487047
U043,low-uptake,11,0,141,1,0.6737588652482269,1.0,39.99000000000001,121.22000000000003
U023,low-uptake,8,8,302,291,0.4867549668874172,0.5326460481099656,60.576081677704224,65.72463917525775
U026,mixed-uptake,8,8,165,139,0.6181818181818182,0.7122302158273381,55.73727272727277,46.11124918247222
U049,high-uptake,9,9,228,199,0.4824561403508772,0.7085427135678392,74.87043859649125,53.06922895728644
U023,low-uptake,8,6,299,248,0.48494983277591974,0.657258064516129,60.24888517279825,64.96109677419358
U053,mixed-uptake,13,13,241,233,0.5850622406639004,0.6180257510729614,64.91159841241208,56.399818996081365
U049,high-uptake,8,8,195,170,0.5230769230769231,0.6470588235294118,76.50153846153849,58.6523529411765
U026,mixed-uptake,4,4,160,142,0.60625,0.647887323943662,53.010113636363656,57.29987836107557
U013,high-uptake,6,6,254,210,0.5866141732283464,0.6857142857142857,65.77839238845148,56.93535714285716
U039,low-uptake,7,7,155,142,0.5741935483870968,0.6619718309859155,65.69556451612905,53.3579360780065
U054,low-uptake,16,16,291,282,0.43986254295532645,0.4716312056737589,77.45412371134022,77.59400000000001
U007,high-uptake,14,14,205,136,0.4585365853658537,0.6323529411764706,74.52333333333335,62.59867647058826
U014,high-uptake,13,13,259,221,0.5057915057915058,0.6470588235294118,68.87539524486894,62.68798768225241
U032,high-uptake,5,5,221,203,0.4660633484162896,0.5960591133004927,58.892488687782844,60.521602434077096
U003,,4,4,135,121,0.6074074074074074,0.6446280991735537,75.6535416666667,70.52610020661159
U047,mixed-uptake,10,8,256,239,0.515625,0.6694560669456067,58.658429276315815,55.94759100418412
U031,high-uptake,8,8,200,164,0.47,0.6219512195121951,88.39766666666668,53.36205691056912
U034,,11,11,259,197,0.4362934362934363,0.583756345177665,89.05402158652161,70.91409831685814
U004,high-uptake,16,16,341,284,0.5454545454545454,0.6338028169014085,65.25836848635237,69.48716778934478
U009,high-uptake,11,8,292,205,0.3595890410958904,0.4585365853658537,87.22697869101982,76.62836128048784
U037,low-uptake,7,0,184,1,0.4891304347826087,1.0,80.28188963210704,121.22000000000003
U024,mixed-uptake,7,5,240,184,0.4708333333333333,0.5706521739130435,90.72416666666669,66.34096618357489
U030,mixed-uptake,13,9,198,144,0.46464646464646464,0.7222222222222222,83.70304195804198,70.1727272727273
U027,high-uptake,6,6,205,168,0.526829268292683,0.7083333333333334,72.70844850948511,43.772380952380985
U001,low-uptake,5,5,74,88,0.7432432432432432,0.7386363636363636,81.97868243243245,69.08027272727276
U055,low-uptake,8,8,206,182,0.616504854368932,0.6208791208791209,62.630538201772936,81.3897087912088
U050,high-uptake,7,6,201,162,0.4228855721393035,0.6049382716049383,75.39152518656718,51.0976495726496
U017,low-uptake,7,7,327,248,0.5229357798165137,0.6370967741935484,87.98526783071915,57.64913381123057
U038,mixed-uptake,13,0,187,295,0.48128342245989303,0.42033898305084744,78.68060468942822,39.066645480226015
U005,,7,0,240,156,0.35,0.6346153846153846,92.95250000000001,69.70961538461539
U004,high-uptake,17,9,341,221,0.5454545454545454,0.6244343891402715,66.63548387096776,60.664241486068136
U032,high-uptake,6,6,220,161,0.4636363636363636,0.5900621118012422,58.72425133689842,74.18802212732922
U044,mixed-uptake,3,3,78,59,0.6923076923076923,0.8983050847457628,84.15371794871797,48.79005296610171
U048,low-uptake,7,7,176,153,0.5397727272727273,0.6601307189542484,57.541188811188846,69.48198529411766
U019,mixed-uptake,5,6,166,149,0.5481927710843374,0.5838926174496645,78.06823042168678,71.90227558724834
U028,low-uptake,16,10,242,215,0.5454545454545454,0.6465116279069767,54.40293847566576,57.064281805745566
U018,high-uptake,6,6,263,183,0.5285171102661597,0.6229508196721312,78.45415188001691,77.80298668032789
U024,mixed-uptake,7,7,246,203,0.45528455284552843,0.625615763546798,89.1047967479675,68.93255695812809
U043,low-uptake,8,8,141,148,0.6737588652482269,0.668918918918919,39.99000000000001,46.47094594594594
U018,high-uptake,3,3,263,191,0.5285171102661597,0.7120418848167539,78.45415188001691,58.77912303664925
U048,low-uptake,4,4,179,171,0.5754189944134078,0.6900584795321637,55.32515255694028,59.45636363636365
U014,high-uptake,6,6,259,256,0.5057915057915058,0.5703125,68.87539524486894,49.735773026315826
U052,high-uptake,14,14,298,269,0.5302013422818792,0.5464684014869888,69.0252898108603,77.1165114903684
U021,mixed-uptake,8,8,401,273,0.44389027431421446,0.5347985347985348,80.09489328150214,61.606805694305706
U021,mixed-uptake,7,7,401,382,0.44139650872817954,0.5157068062827225,80.09489328150214,72.51756390514322
U050,high-uptake,5,5,201,171,0.4228855721393035,0.5614035087719298,75.39152518656718,75.53768421052634
U009,high-uptake,11,8,283,143,0.3674911660777385,0.5944055944055944,88.04160875539853,77.34832167832171
U008,,9,9,255,209,0.4117647058823529,0.6076555023923444,83.84161764705883,67.41360047846891
U035,mixed-uptake,10,10,271,227,0.6236162361623616,0.7224669603524229,57.78025369003694,53.70549703122009
U052,high-uptake,3,3,291,195,0.6116838487972509,0.6974358974358974,41.858545849159015,33.55076923076925
U022,low-uptake,9,9,300,220,0.5166666666666667,0.6181818181818182,65.24809090909092,67.02873205741628
U021,mixed-uptake,13,13,401,337,0.4538653366583541,0.5489614243323442,80.09489328150214,62.38272156280911
U009,high-uptake,8,8,270,185,0.37777777777777777,0.6054054054054054,86.06107843137256,74.50477477477479
U052,high-uptake,8,8,298,291,0.5302013422818792,0.5876288659793815,69.0252898108603,60.84024601686974
U035,mixed-uptake,11,11,271,265,0.6236162361623616,0.6452830188679245,57.78025369003694,50.275468069666175
U051,low-uptake,10,9,283,211,0.5017667844522968,0.6161137440758294,72.98281507656066,64.85415315540038
U053,mixed-uptake,11,11,245,206,0.5510204081632653,0.6213592233009708,64.31526437847867,62.49894660194178
U054,low-uptake,5,5,296,278,0.4527027027027027,0.5251798561151079,77.57770270270272,69.29205035971226
U039,low-uptake,7,7,156,158,0.5769230769230769,0.6708860759493671,65.58284615384616,62.59012658227849
U019,mixed-uptake,5,5,166,134,0.5481927710843374,0.6940298507462687,78.06823042168678,62.66020398009954
U007,high-uptake,11,11,205,143,0.4585365853658537,0.7062937062937062,74.52333333333335,51.636164772727284
U034,,9,9,258,144,0.42248062015503873,0.7777777777777778,90.00158562367866,55.47485294117649
U049,high-uptake,10,10,219,163,0.502283105022831,0.6748466257668712,76.27917380136988,61.37956646216773
U023,low-uptake,8,8,297,270,0.494949494949495,0.5296296296296297,59.45575757575759,64.37833333333333
U015,high-uptake,7,7,337,296,0.6261127596439169,0.6959459459459459,38.17792087042537,37.039189189189216
U051,low-uptake,8,8,285,240,0.49473684210526314,0.6291666666666667,72.57631578947371,69.92666666666669
U022,low-uptake,10,10,302,233,0.5165562913907285,0.6523605150214592,64.60115593016258,51.33038400722839
U010,high-uptake,7,7,150,155,0.5133333333333333,0.6580645161290323,57.62100000000002,43.62780913978497
U003,,5,5,135,127,0.6074074074074074,0.6614173228346457,75.6535416666667,72.14864665354332
U004,high-uptake,14,12,341,261,0.5454545454545454,0.7049808429118773,66.63548387096776,37.58651253918498
U051,low-uptake,11,11,284,253,0.4964788732394366,0.5731225296442688,72.5084914751668,53.21117328895363
U048,low-uptake,5,5,172,166,0.6802325581395349,0.6385542168674698,42.76108527131785,44.232185104052576
U045,high-uptake,9,9,319,272,0.5047021943573667,0.6654411764705882,58.82949161782747,40.56093350383634
U002,mixed-uptake,11,0,284,190,0.5211267605633803,0.6473684210526316,72.39247652582162,77.2358479532164
U045,high-uptake,7,7,319,311,0.5047021943573667,0.6302250803858521,58.82949161782747,38.3556035637728
U002,mixed-uptake,8,0,284,180,0.5492957746478874,0.6333333333333333,71.49881455399063,70.39625000000002
U045,high-uptake,8,8,319,332,0.5047021943573667,0.5753012048192772,58.82949161782747,54.326466736511264
U002,mixed-uptake,6,0,286,192,0.548951048951049,0.6614583333333334,72.16885454545455,67.38362500000002
U020,low-uptake,3,3,239,181,0.5397489539748954,0.6961325966850829,72.38389775104604,40.87161602209946
U001,low-uptake,5,5,74,73,0.7432432432432432,0.821917808219178,81.97868243243245,72.41148116438359
U005,,11,0,240,160,0.35,0.61875,92.95250000000001,65.40708333333336
U046,,11,11,222,181,0.44144144144144143,0.6298342541436464,99.91714864864865,70.98295165745856
U038,mixed-uptake,3,0,196,81,0.5408163265306123,0.7407407407407407,67.22171899529043,31.703472222222246
U047,mixed-uptake,9,9,254,249,0.5039370078740157,0.5863453815261044,59.704635308744315,60.68737476220676
U041,,10,10,245,183,0.6,0.6666666666666666,57.537671068427386,57.46200307377052
U029,mixed-uptake,12,0,125,1,0.6,1.0,60.361784615384636,121.22000000000003
U029,mixed-uptake,10,0,125,1,0.6,1.0,60.361784615384636,121.22000000000003
U041,,9,9,245,223,0.6,0.6322869955156951,57.537671068427386,50.497269849643914
U031,high-uptake,5,4,206,168,0.45145631067961167,0.625,87.35100647249193,65.23714285714289
U033,low-uptake,6,6,262,272,0.5763358778625954,0.5441176470588235,66.24438931297712,59.92120320855619
U022,low-uptake,14,14,306,306,0.5196078431372549,0.5359477124183006,63.329037433155094,67.75256684491978
U029,mixed-uptake,9,0,125,1,0.6,1.0,60.361784615384636,121.22000000000003
U025,low-uptake,8,8,182,145,0.6428571428571429,0.696551724137931,66.65467032967034,71.82281167108756
U041,,5,5,245,227,0.6,0.6343612334801763,57.537671068427386,46.81568541072818
U034,,7,7,255,161,0.43529411764705883,0.6521739130434783,91.89140374331552,62.997809523809565
U033,low-uptake,8,8,262,229,0.5763358778625954,0.6375545851528385,66.24438931297712,76.25165393013101
U031,high-uptake,7,7,207,174,0.4396135265700483,0.6379310344827587,87.79321739130437,51.6299655172414
U047,mixed-uptake,6,6,254,249,0.5039370078740157,0.5662650602409639,59.704635308744315,48.79580849714651
U011,mixed-uptake,3,3,192,135,0.625,0.7185185185185186,37.13166666666669,45.5735416666667
U006,low-uptake,15,15,224,198,0.6026785714285714,0.6262626262626263,79.04241883116883,69.03195454545457
U056,low-uptake,6,6,338,287,0.591715976331361,0.6411149825783972,59.253820048729565,29.081278477619975
U013,high-uptake,6,6,251,202,0.5896414342629482,0.6831683168316832,67.29885458167333,59.426633663366346
U012,mixed-uptake,7,7,151,150,0.4966887417218543,0.58,70.02124586092715,56.39175000000003
U016,high-uptake,8,8,196,155,0.5408163265306123,0.6516129032258065,55.155646258503424,47.994260752688206
U040,mixed-uptake,12,12,169,152,0.6390532544378699,0.6513157894736842,87.98625184911245,76.97144736842105
U038,mixed-uptake,3,0,196,76,0.5408163265306123,0.5657894736842105,67.22171899529043,40.613157894736844
U042,,13,13,182,179,0.5604395604395604,0.6480446927374302,69.7475332562175,55.89893078833026
U036,high-uptake,10,10,142,122,0.647887323943662,0.7295081967213115,72.79001920614598,54.8088748137109
U042,,14,7,182,138,0.5604395604395604,0.6231884057971014,69.7475332562175,67.65854691075518
U012,mixed-uptake,6,6,151,152,0.4966887417218543,0.5394736842105263,70.02124586092715,64.54605263157896
U040,mixed-uptake,9,9,170,171,0.6294117647058823,0.6432748538011696,87.83990196078433,86.65034539473685
U057,low-uptake,10,9,254,220,0.5275590551181102,0.6318181818181818,54.3878070866142,59.722368421052664
U036,high-uptake,10,10,142,133,0.647887323943662,0.6842105263157895,72.79001920614598,57.803328776486666
U006,low-uptake,14,14,236,179,0.5677966101694916,0.7318435754189944,79.80105546995381,66.3553131431932
U016,high-uptake,6,6,197,122,0.5431472081218274,0.6885245901639344,55.32085122998831,61.3220127504554
U056,low-uptake,7,7,341,321,0.592375366568915,0.5981308411214953,60.195528721752666,51.796796144859826
U057,low-uptake,8,8,254,219,0.5275590551181102,0.6529680365296804,54.3878070866142,42.359106164383576
U040,mixed-uptake,8,8,170,137,0.6235294117647059,0.7299270072992701,87.83990196078433,69.73838929440392
U006,low-uptake,10,10,236,145,0.5677966101694916,0.7103448275862069,79.80105546995381,70.40247464503045
U011,mixed-uptake,3,4,213,147,0.6150234741784038,0.6870748299319728,38.65493661971834,38.897482993197315
U016,high-uptake,9,9,197,164,0.5431472081218274,0.6585365853658537,55.32085122998831,54.63280487804883
U012,mixed-uptake,8,8,151,145,0.4966887417218543,0.5862068965517241,70.02124586092715,67.95808429118775
U056,low-uptake,6,6,341,202,0.592375366568915,0.7475247524752475,60.195528721752666,29.690990099009923
U042,,15,10,182,137,0.5604395604395604,0.6423357664233577,69.7475332562175,59.71368827823099
U036,high-uptake,10,10,141,132,0.6312056737588653,0.7272727272727273,77.42454545454548,74.16409090909092
U017,low-uptake,12,7,327,236,0.5229357798165137,0.652542372881356,87.98526783071915,61.342711864406795
