student_id,no_uptake,successful,unsuccessful,total_interactions,cluster,uptake_profile
P036,0.4444444444444444,0.2222222222222222,0.3333333333333333,9,1,mixed-uptake
P037,1.0,0.0,0.0,1,0,low-uptake
P038,0.5,0.0,0.5,4,1,mixed-uptake
P039,1.0,0.0,0.0,3,0,low-uptake
P040,1.0,0.0,0.0,1,0,low-uptake
P041,0.5,0.25,0.25,8,1,mixed-uptake
P042,1.0,0.0,0.0,6,0,low-uptake
P043,1.0,0.0,0.0,3,0,low-uptake
P044,1.0,0.0,0.0,1,0,low-uptake
P045,1.0,0.0,0.0,1,0,low-uptake
P046,1.0,0.0,0.0,2,0,low-uptake
P047,0.2857142857142857,0.42857142857142855,0.2857142857142857,7,1,mixed-uptake
P048,0.7647058823529411,0.11764705882352941,0.11764705882352941,17,0,low-uptake
P049,0.2,0.4,0.4,5,1,mixed-uptake
P050,0.6,0.2,0.2,10,1,mixed-uptake
P051,0.7272727272727273,0.18181818181818182,0.09090909090909091,11,0,low-uptake
P052,1.0,0.0,0.0,1,0,low-uptake
P053,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1,mixed-uptake
P054,1.0,0.0,0.0,1,0,low-uptake
P055,1.0,0.0,0.0,4,0,low-uptake
P056,0.0,0.0,1.0,1,1,mixed-uptake
P057,1.0,0.0,0.0,5,0,low-uptake
P058,0.5714285714285714,0.42857142857142855,0.0,14,1,mixed-uptake
P059,0.6666666666666666,0.3333333333333333,0.0,3,1,mixed-uptake
P060,0.5,0.5,0.0,2,1,mixed-uptake
P061,1.0,0.0,0.0,1,0,low-uptake
P062,1.0,0.0,0.0,1,0,low-uptake
P063,1.0,0.0,0.0,3,0,low-uptake
P064,1.0,0.0,0.0,4,0,low-uptake
P065,1.0,0.0,0.0,8,0,low-uptake
P066,1.0,0.0,0.0,2,0,low-uptake
P067,0.5,0.25,0.25,4,1,mixed-uptake
P068,1.0,0.0,0.0,1,0,low-uptake
P069,1.0,0.0,0.0,1,0,low-uptake
P070,1.0,0.0,0.0,2,0,low-uptake
P071,0.5,0.0,0.5,2,1,mixed-uptake
P072,1.0,0.0,0.0,6,0,low-uptake
P073,1.0,0.0,0.0,1,0,low-uptake
P074,0.5,0.0,0.5,4,1,mixed-uptake
P075,1.0,0.0,0.0,4,0,low-uptake
P076,1.0,0.0,0.0,10,0,low-uptake
P077,1.0,0.0,0.0,3,0,low-uptake
P078,1.0,0.0,0.0,5,0,low-uptake
P079,0.5,0.5,0.0,2,1,mixed-uptake
P080,0.0,1.0,0.0,1,2,high-uptake
P081,0.0,1.0,0.0,1,2,high-uptake
P082,1.0,0.0,0.0,1,0,low-uptake
P083,1.0,0.0,0.0,4,0,low-uptake
P084,1.0,0.0,0.0,1,0,low-uptake
P085,1.0,0.0,0.0,7,0,low-uptake
P086,1.0,0.0,0.0,3,0,low-uptake
P087,0.5,0.0,0.5,2,1,mixed-uptake
P088,1.0,0.0,0.0,2,0,low-uptake
P089,1.0,0.0,0.0,1,0,low-uptake
P090,0.8,0.0,0.2,5,0,low-uptake
P091,0.0,1.0,0.0,1,2,high-uptake
P092,0.5,0.25,0.25,4,1,mixed-uptake
P093,1.0,0.0,0.0,2,0,low-uptake
P094,0.6363636363636364,0.2727272727272727,0.09090909090909091,11,1,mixed-uptake
P095,0.6,0.2,0.2,5,1,mixed-uptake
P096,0.0,0.8,0.2,5,2,high-uptake
P097,0.5,0.25,0.25,4,1,mixed-uptake
P098,1.0,0.0,0.0,1,0,low-uptake
P099,1.0,0.0,0.0,4,0,low-uptake
P100,0.8333333333333334,0.16666666666666666,0.0,6,0,low-uptake
P101,0.5,0.16666666666666666,0.3333333333333333,12,1,mixed-uptake
P102,0.5,0.375,0.125,8,1,mixed-uptake
P103,1.0,0.0,0.0,7,0,low-uptake
P104,0.3333333333333333,0.16666666666666666,0.5,6,1,mixed-uptake
P105,0.2857142857142857,0.7142857142857143,0.0,14,2,high-uptake
P106,0.5,0.5,0.0,2,1,mixed-uptake
P107,0.5714285714285714,0.14285714285714285,0.2857142857142857,7,1,mixed-uptake
P108,0.75,0.125,0.125,8,0,low-uptake
P109,0.5,0.5,0.0,2,1,mixed-uptake
P110,1.0,0.0,0.0,5,0,low-uptake
P111,1.0,0.0,0.0,2,0,low-uptake
P112,1.0,0.0,0.0,2,0,low-uptake
P113,1.0,0.0,0.0,1,0,low-uptake
P114,1.0,0.0,0.0,8,0,low-uptake
P115,1.0,0.0,0.0,1,0,low-uptake
