participant_id,session,group_type,intrinsic_load,extraneous_load,germane_load,essay_improvement
P012,1,low-uptake,2.0,2.0,2.5,20.83333333333333
P012,2,low-uptake,1.6666666666666667,2.333333333333333,2.0,20.83333333333333
P012,3,low-uptake,1.6666666666666667,3.333333333333333,8.25,20.83333333333333
P048,1,high-uptake,10.0,1.6666666666666667,8.25,0.0
P048,2,high-uptake,6.0,7.0,9.0,0.0
P048,3,high-uptake,7.666666666666667,3.0,10.0,0.0
P004,1,low-uptake,4.0,5.0,5.25,0.0
P004,2,low-uptake,3.0,4.333333333333333,8.0,0.0
P004,3,low-uptake,3.0,2.6666666666666665,7.0,0.0
P022,1,high-uptake,2.6666666666666665,3.6666666666666665,5.25,19.31818181818182
P022,2,high-uptake,3.0,3.333333333333333,7.0,19.31818181818182
P022,3,high-uptake,2.333333333333333,2.333333333333333,7.0,19.31818181818182
P017,1,low-uptake,2.6666666666666665,4.333333333333333,7.75,0.0
P017,2,low-uptake,2.6666666666666665,3.6666666666666665,7.5,0.0
P017,3,low-uptake,3.0,5.666666666666667,7.75,0.0
P005,1,high-uptake,4.333333333333333,4.0,5.0,55.22875816993463
P005,2,high-uptake,6.0,5.0,6.5,55.22875816993463
P005,3,high-uptake,6.666666666666667,4.0,6.5,55.22875816993463
P024,1,mixed-uptake,5.333333333333333,5.333333333333333,7.25,6.666666666666667
P024,2,mixed-uptake,6.333333333333333,5.0,8.0,6.666666666666667
P024,3,mixed-uptake,4.333333333333333,4.333333333333333,7.0,6.666666666666667
P054,1,mixed-uptake,5.666666666666667,5.666666666666667,6.0,0.0
P054,2,mixed-uptake,7.0,6.333333333333333,5.75,0.0
P054,3,mixed-uptake,9.333333333333334,8.333333333333334,9.0,0.0
P038,1,high-uptake,3.333333333333333,3.0,7.25,13.333333333333334
P038,2,high-uptake,2.333333333333333,5.333333333333333,7.0,13.333333333333334
P038,3,high-uptake,1.6666666666666667,4.333333333333333,5.5,13.333333333333334
P029,1,low-uptake,4.0,5.333333333333333,4.0,18.571428571428573
P029,2,low-uptake,4.0,6.0,4.0,18.571428571428573
P029,3,low-uptake,4.666666666666667,6.333333333333333,5.5,18.571428571428573
P030,1,low-uptake,4.333333333333333,4.0,7.25,5.5555555555555545
P030,2,low-uptake,2.6666666666666665,2.6666666666666665,8.25,5.5555555555555545
P030,3,low-uptake,3.0,2.6666666666666665,8.5,5.5555555555555545
P031,1,high-uptake,2.6666666666666665,3.333333333333333,7.25,13.468013468013469
P031,2,high-uptake,2.333333333333333,3.0,7.5,13.468013468013469
P031,3,high-uptake,2.333333333333333,2.333333333333333,8.25,13.468013468013469
P009,1,low-uptake,3.0,8.333333333333334,5.75,11.111111111111107
P009,2,low-uptake,2.333333333333333,3.333333333333333,8.5,11.111111111111107
P009,3,low-uptake,4.666666666666667,8.0,8.75,11.111111111111107
P007,1,high-uptake,6.333333333333333,5.666666666666667,6.25,44.44444444444444
P007,2,high-uptake,4.333333333333333,1.3333333333333333,7.5,44.44444444444444
P007,3,high-uptake,5.0,3.333333333333333,8.5,44.44444444444444
P039,1,low-uptake,2.0,4.0,2.0,16.59090909090909
P039,2,low-uptake,1.0,4.333333333333333,2.75,16.59090909090909
P039,3,low-uptake,1.0,6.333333333333333,2.0,16.59090909090909
P044,1,low-uptake,2.333333333333333,5.666666666666667,3.75,0.0
P044,2,low-uptake,3.0,4.666666666666667,5.25,0.0
P044,3,low-uptake,3.333333333333333,4.666666666666667,7.5,0.0
P020,1,mixed-uptake,5.0,5.0,9.5,0.0
P020,2,mixed-uptake,2.0,5.0,7.75,0.0
P020,3,mixed-uptake,2.6666666666666665,4.666666666666667,5.25,0.0
P025,1,mixed-uptake,1.6666666666666667,2.6666666666666665,7.25,29.044289044289048
P025,2,mixed-uptake,6.0,7.0,6.25,29.044289044289048
P025,3,mixed-uptake,3.6666666666666665,6.333333333333333,6.75,29.044289044289048
P008,1,low-uptake,2.6666666666666665,5.0,5.5,12.121212121212125
P008,2,low-uptake,5.333333333333333,5.333333333333333,5.25,12.121212121212125
P008,3,low-uptake,6.333333333333333,4.0,5.75,12.121212121212125
P003,1,high-uptake,1.0,3.333333333333333,8.75,26.48148148148148
P003,2,high-uptake,1.3333333333333333,4.333333333333333,8.75,26.48148148148148
P003,3,high-uptake,2.0,2.0,8.5,26.48148148148148
P016,1,high-uptake,4.666666666666667,5.666666666666667,4.0,0.0
P016,2,high-uptake,3.0,3.333333333333333,3.75,0.0
P016,3,high-uptake,3.6666666666666665,3.6666666666666665,4.0,0.0
P052,1,low-uptake,3.333333333333333,7.333333333333333,7.0,10.0
P052,2,low-uptake,2.0,4.333333333333333,5.25,10.0
P052,3,low-uptake,1.0,6.0,4.75,10.0
P045,1,low-uptake,1.6666666666666667,3.0,5.0,0.0
P045,2,low-uptake,2.6666666666666665,3.333333333333333,3.75,0.0
P045,3,low-uptake,2.0,5.333333333333333,2.25,0.0
P023,1,mixed-uptake,2.0,2.333333333333333,6.5,20.146520146520142
P023,2,mixed-uptake,1.0,3.0,6.5,20.146520146520142
P023,3,mixed-uptake,2.6666666666666665,4.0,7.25,20.146520146520142
P053,1,mixed-uptake,8.333333333333334,4.333333333333333,6.75,0.0
P053,2,mixed-uptake,1.0,2.333333333333333,8.75,0.0
P053,3,mixed-uptake,1.0,7.0,7.75,0.0
P037,1,mixed-uptake,3.333333333333333,1.0,10.0,0.0
P037,2,mixed-uptake,1.6666666666666667,1.0,10.0,0.0
P037,3,mixed-uptake,1.3333333333333333,1.0,10.0,0.0
